"namekey";"personalname";"gender";"ethnicity";"class";"personkey";"inscriptionkey";"corpusidnumber";"corpusname";"corpusidnumeric";"comment";"ethnicname";"groupnamecategory";"origin"
6841;"Satorneios";"Male";"Roman";"Parent name";13952;13950;"18";"IK Sestos";90018;"";"Herakleotes in Pontos";"City";"Greek"
212;"Asklepiades";"Male";"Greek";"Personal name";14083;14080;"56";"IK Sestos";90056;"";"Lampsakenos";"City";"Greek"
850;"Hilaros/Ilaros";"Male";"Greek";"Parent name";14083;14080;"56";"IK Sestos";90056;"";"Lampsakenos";"City";"Greek"
12187;"Eudamos";"Male";"Greek";"Personal name";14165;14162;"1";"IK Byzantion";95001;"";"Seleukeios";"City";"Greek"
1241;"Nikon";"Male";"Greek";"Parent name";14165;14162;"1";"IK Byzantion";95001;"";"Seleukeios";"City";"Greek"
14174;"Orontas";"Male";"Greek";"Personal name";14177;14172;"3";"IK Byzantion";95003;"";"Olbiopolites";"City";"Greek"
14176;"Ababos";"Male";"Uncertain";"Parent name";14177;14172;"3";"IK Byzantion";95003;"";"Olbiopolites";"City";"Greek"
2173;"Gaios";"Male";"Roman";"Personal name";14318;14316;"34";"IK Byzantion";95034;"";"Italikos";"Region";""
2458;"Ioulios";"Male";"Roman";"Personal name";14318;14316;"34";"IK Byzantion";95034;"";"Italikos";"Region";""
196;"Artemidoros";"Female";"Greek";"Parent name";14405;14402;"72";"IK Byzantion";95072;"";"Kallatianos";"City";"Greek"
14403;"Faikon";"Male";"Greek";"Personal name";14405;14402;"72";"IK Byzantion";95072;"";"Kallatianos";"City";"Greek"
25;"Agathon";"Male";"Greek";"Parent name";14437;14435;"84";"IK Byzantion";95084;"";"Koos";"City";"Greek"
25;"Agathon";"Male";"Greek";"Personal name";14437;14435;"84";"IK Byzantion";95084;"";"Koos";"City";"Greek"
1640;"Theodoros";"Male";"Greek";"Personal name";14548;14545;"120";"IK Byzantion";95120;"";"Bithynoi";"Region";"Uncertain"
568;"Epikrates";"Male";"Greek";"Parent name";14548;14545;"120";"IK Byzantion";95120;"";"Bithynoi";"Region";"Uncertain"
7931;"Aulos";"Male";"Uncertain";"Personal name";15164;14732;"215";"IK Byzantion";95215;"";"Lydios";"Region";""
118;"Antigonos";"Male";"Greek";"Personal name";15227;14761;"242";"IK Byzantion";95242;"";"Byzantios";"City";"Greek"
15225;"Thallion";"Male";"Greek";"Personal name";15228;14761;"242";"IK Byzantion";95242;"";"Byzantios";"City";"Greek"
15239;"Teimo";"Female";"Greek";"Partner name";15238;14759;"248";"IK Byzantion";95248;"";"Neikaios";"City";"Greek"
318;"Chaireas";"Male";"Greek";"Parent name";15238;14759;"248";"IK Byzantion";95248;"";"Neikaios";"City";"Greek"
6688;"Apfos / Apfous";"Male";"Roman";"Personal name";15238;14759;"248";"IK Byzantion";95248;"";"Neikaios";"City";"Greek"
15339;"Martha";"Female";"Roman";"Personal name";15340;14814;"294";"IK Byzantion";95294;"";"Byzantios";"City";"Greek"
2188;"Aurelia";"Female";"Roman";"Personal name";15340;14814;"294";"IK Byzantion";95294;"";"Byzantios";"City";"Greek"
561;"Epafroditos";"Male";"Greek";"Personal name";15380;14835;"313";"IK Byzantion";95313;"";"Byzantios";"City";"Greek"
356;"Damas";"Male";"Greek";"Personal name";15388;14837;"315";"IK Byzantion";95315;"";"Bathoneus";"";"Uncertain"
2257;"Rhoufos (Roufos)";"Male";"Roman";"Parent name";15388;14837;"315";"IK Byzantion";95315;"";"Bathoneus";"";"Uncertain"
2189;"Aurelios";"Male";"Roman";"Personal name";15403;14839;"318";"IK Byzantion";95318;"";"Deuteras";"Other";"Greek"
2177;"Poplios";"Male";"Roman";"Personal name";15403;14839;"318";"IK Byzantion";95318;"";"Deuteras";"Other";"Greek"
1645;"Theofilos";"Male";"Greek";"Personal name";15403;14839;"318";"IK Byzantion";95318;"";"Deuteras";"Other";"Greek"
2173;"Gaios";"Male";"Roman";"Parent name";15405;14839;"318";"IK Byzantion";95318;"";"Kerameus";"Other";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";15405;14839;"318";"IK Byzantion";95318;"";"Kerameus";"Other";"Greek"
214;"Asklepiodotos";"Male";"Greek";"Personal name";15405;14839;"318";"IK Byzantion";95318;"";"Kerameus";"Other";"Greek"
141;"Apollonios";"Male";"Greek";"Parent name";15408;14840;"319";"IK Byzantion";95319;"";"Philoktereas";"Other";"Greek"
2257;"Rhoufos (Roufos)";"Male";"Roman";"Personal name";15408;14840;"319";"IK Byzantion";95319;"";"Philoktereas";"Other";"Greek"
135;"Apollodoros";"Male";"Greek";"Parent name";15410;14840;"319";"IK Byzantion";95319;"";"Krateineas";"Other";"Greek"
6373;"Peison";"Male";"Roman";"Personal name";15410;14840;"319";"IK Byzantion";95319;"";"Krateineas";"Other";"Greek"
